rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,Solidity,EIPs,6398,2483,Solidity,https://github.com/ethereum/EIPs,ethereum,511,2021-05-11T13:30:44Z,The Ethereum Improvement Proposal repository
2,Solidity,learning-solidity,962,363,Solidity,https://github.com/willitscale/learning-solidity,willitscale,5,2021-03-05T12:02:44Z,The companion to the Youtube tutorials
3,Solidity,sushiswap,831,663,Solidity,https://github.com/sushiswap/sushiswap,sushiswap,12,2021-05-11T10:49:53Z,Sushiswap smart contracts 🍣 📝
4,Solidity,not-so-smart-contracts,767,135,Solidity,https://github.com/crytic/not-so-smart-contracts,crytic,9,2020-04-24T15:54:02Z,Examples of Solidity security issues
5,Solidity,compound-protocol,688,485,Solidity,https://github.com/compound-finance/compound-protocol,compound-finance,30,2021-05-10T21:15:39Z,The Compound On-Chain Protocol
6,Solidity,solidity-stringutils,623,248,Solidity,https://github.com/Arachnid/solidity-stringutils,Arachnid,25,2021-01-15T14:23:26Z,Basic string utilities for Solidity
7,Solidity,yam-protocol,599,258,Solidity,https://github.com/yam-finance/yam-protocol,yam-finance,18,2020-09-29T06:24:11Z,A stablizing reserve currency protocol
8,Solidity,solidity-patterns,580,115,Solidity,https://github.com/fravoll/solidity-patterns,fravoll,0,2019-12-17T08:28:14Z,A compilation of patterns and best practices for the smart contract programming language Solidity
9,Solidity,ethereum-api,569,348,Solidity,https://github.com/provable-things/ethereum-api,provable-things,10,2020-11-15T01:26:36Z,Provable API for Ethereum smart contracts
10,Solidity,aragonOS,496,189,Solidity,https://github.com/aragon/aragonOS,aragon,51,2021-05-08T22:33:38Z,(Aragon 1) Reference implementation for aragonOS: a Solidity framework for building complex dApps and protocols
11,Solidity,defi-sdk,475,134,Solidity,https://github.com/zeriontech/defi-sdk,zeriontech,25,2021-05-07T14:35:46Z,DeFi SDK Makes Money Lego Work
12,Solidity,money-legos,417,112,Solidity,https://github.com/studydefi/money-legos,studydefi,22,2021-05-01T02:03:57Z,"💰One stop shop for Ethereum ABIs, addresses, and Solidity interfaces!"
13,Solidity,ERC223-token-standard,410,215,Solidity,https://github.com/Dexaran/ERC223-token-standard,Dexaran,8,2021-05-05T06:57:45Z,ERC223 token standard reference implementation.
14,Solidity,Safemoon.sol,387,369,Solidity,https://github.com/safemoonprotocol/Safemoon.sol,safemoonprotocol,52,2021-04-23T16:48:11Z,safemoon contract
15,Solidity,ethereum-examples,367,129,Solidity,https://github.com/provable-things/ethereum-examples,provable-things,30,2021-05-11T12:59:44Z,Code examples showing how to use the Provable API on Ethereum
16,Solidity,security-oracle-smart-contracts,334,5,Solidity,https://github.com/certikfoundation/security-oracle-smart-contracts,certikfoundation,0,2021-01-21T19:56:43Z,Smart Contracts for CertiK Security Oracle
17,Solidity,uniswap-v2-periphery,324,529,Solidity,https://github.com/Uniswap/uniswap-v2-periphery,Uniswap,24,2021-04-04T03:24:17Z,🎚 Peripheral smart contracts for interacting with Uniswap V2
18,Solidity,ethereum-erc721,318,133,Solidity,https://github.com/0xcert/ethereum-erc721,0xcert,9,2021-04-03T06:22:59Z,Non-fungible token implementation for Ethereum-based blockchains.
19,Solidity,keep3r.network,317,108,Solidity,https://github.com/keep3r-network/keep3r.network,keep3r-network,10,2021-04-19T09:26:21Z,An incentivized keeper network for anonymous keeper and job registration
20,Solidity,yearn-protocol,313,156,Solidity,https://github.com/yearn/yearn-protocol,yearn,17,2021-04-30T06:39:01Z,Yearn smart contracts
21,Solidity,dss,299,195,Solidity,https://github.com/makerdao/dss,makerdao,19,2021-04-30T16:56:49Z,Dai Stablecoin System
22,Solidity,1inchProtocol,279,132,Solidity,https://github.com/1inch/1inchProtocol,1inch,43,2021-05-06T14:34:35Z,1inch Protocol – fully on-chain DeFi aggregation protocol
23,Solidity,protocols,273,90,Solidity,https://github.com/Loopring/protocols,Loopring,20,2021-05-11T03:54:55Z,A zkRollup DEX & Payment Protocol
24,Solidity,solidity-idiosyncrasies,271,37,Solidity,https://github.com/miguelmota/solidity-idiosyncrasies,miguelmota,0,2020-11-30T02:11:40Z,"Solidity gotchas, pitfalls, limitations, and idiosyncrasies."
25,Solidity,verified-smart-contracts,249,78,Solidity,https://github.com/runtimeverification/verified-smart-contracts,runtimeverification,7,2021-04-27T18:12:17Z,Smart contracts which are formally verified
26,Solidity,MultiSigWallet,233,107,Solidity,https://github.com/ConsenSysMesh/MultiSigWallet,ConsenSysMesh,8,2020-11-10T16:26:09Z,Ethereum MultiSigWallet
27,Solidity,building-secure-contracts,225,34,Solidity,https://github.com/crytic/building-secure-contracts,crytic,23,2021-05-03T20:49:12Z,Guidelines and training material to write secure smart contracts
28,Solidity,argent-contracts,222,67,Solidity,https://github.com/argentlabs/argent-contracts,argentlabs,4,2021-05-11T12:22:11Z,Smart Contracts for Argent Wallet
29,Solidity,SWC-registry,213,66,Solidity,https://github.com/SmartContractSecurity/SWC-registry,SmartContractSecurity,15,2021-05-08T03:25:47Z,Smart Contract Weakness Classification and Test Cases
30,Solidity,defi-bot,207,82,Solidity,https://github.com/ExtropyIO/defi-bot,ExtropyIO,3,2021-04-14T10:27:30Z,Tutorial for building DeFi arbitrage bots
31,Solidity,erc-1155,205,119,Solidity,https://github.com/enjin/erc-1155,enjin,10,2021-03-30T12:43:25Z,ERC-1155: Smart Contract Sample Implementation
32,Solidity,flashloan-box,204,90,Solidity,https://github.com/aave/flashloan-box,aave,8,2021-05-11T11:25:15Z,A box containing all you need to get started with developing  Aave v1 flash loans
33,Solidity,basiscash-protocol,196,206,Solidity,https://github.com/Basis-Cash/basiscash-protocol,Basis-Cash,3,2021-04-07T15:50:43Z,Solidity implementation of the Basis Cash Protocol 
34,Solidity,congress,195,21,Solidity,https://github.com/cybercongress/congress,cybercongress,66,2021-05-10T14:49:48Z,Helping humanity evolve
35,Solidity,payment-channel,193,56,Solidity,https://github.com/mattdf/payment-channel,mattdf,2,2018-05-18T19:01:06Z,Ethereum Payment Channel in 50 lines of code
36,Solidity,smart-contracts,193,71,Solidity,https://github.com/trusttoken/smart-contracts,trusttoken,3,2021-05-11T13:30:45Z,TrustToken smart contracts
37,Solidity,anonymous-zether,192,43,Solidity,https://github.com/ConsenSys/anonymous-zether,ConsenSys,10,2021-05-10T11:45:42Z,"A private payment system for Ethereum-based blockchains, with no trusted setup."
38,Solidity,Flash-Arb-Trader,189,61,Solidity,https://github.com/fifikobayashi/Flash-Arb-Trader,fifikobayashi,5,2020-11-10T17:01:00Z,Smart contract that flash borrows from Aave and uses the flash liquidity for arbitrage between Sushiswap and UniswapV2 within the same transaction
39,Solidity,semaphore,181,33,Solidity,https://github.com/appliedzkp/semaphore,appliedzkp,13,2021-05-11T13:37:01Z,A privacy gadget for Ethereum
40,Solidity,balancer-core,178,90,Solidity,https://github.com/balancer-labs/balancer-core,balancer-labs,3,2021-05-07T18:35:12Z,Balancer on the EVM
41,Solidity,solidity-bytes-utils,173,45,Solidity,https://github.com/GNSPS/solidity-bytes-utils,GNSPS,2,2021-04-13T00:02:32Z,Utility Solidity library composed of basic operations for tightly packed bytes arrays
42,Solidity,flash-lending,171,39,Solidity,https://github.com/marbleprotocol/flash-lending,marbleprotocol,11,2018-11-18T04:38:53Z,Flash lending smart contracts
43,Solidity,dharma-smart-wallet,170,32,Solidity,https://github.com/dharma-eng/dharma-smart-wallet,dharma-eng,2,2021-05-10T20:36:56Z,"An upgradeable, meta-transaction-enabled smart wallet for earning interest on stablecoins while retaining custody of funds, with an added security backstop provided by Dharma Labs."
44,Solidity,moac-core,162,40,Solidity,https://github.com/MOACChain/moac-core,MOACChain,5,2021-05-09T00:13:08Z,MOAC core 
45,Solidity,multicall,158,78,Solidity,https://github.com/makerdao/multicall,makerdao,10,2021-04-14T17:41:20Z,Multicall: Aggregate multiple constant function call results into one
46,Solidity,contracts,151,51,Solidity,https://github.com/ethereum-optimism/contracts,ethereum-optimism,21,2021-04-12T00:07:24Z,[Optimism] Smart Contracts
47,Solidity,damn-vulnerable-defi,150,58,Solidity,https://github.com/OpenZeppelin/damn-vulnerable-defi,OpenZeppelin,0,2021-02-26T19:19:43Z,
48,Solidity,pm-contracts,148,51,Solidity,https://github.com/gnosis/pm-contracts,gnosis,8,2020-12-10T16:40:26Z,Collection of smart contracts for the Gnosis prediction market platform.
49,Solidity,erc721x,142,41,Solidity,https://github.com/loomnetwork/erc721x,loomnetwork,3,2019-11-01T13:53:12Z,"ERC721x is an extension of ERC721 that adds support for multi-fungible tokens and batch transfers, while being fully backward-compatible."
50,Solidity,pancake-farm,141,270,Solidity,https://github.com/pancakeswap/pancake-farm,pancakeswap,11,2021-05-09T12:12:17Z,
