rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
72,Solidity,abdk-libraries-solidity,92,27,Solidity,https://github.com/abdk-consulting/abdk-libraries-solidity,abdk-consulting,1,2021-03-24T11:35:19Z,Open-Source Libraries for Solidity by ABDK Consulting
73,Solidity,flashloaner-contract,91,62,Solidity,https://github.com/pedrobergamini/flashloaner-contract,pedrobergamini,1,2020-11-12T01:18:25Z,Solidity smart contracts that operate arbitrages between Sushiswap and Uniswap
74,Solidity,uniswap-oracle,91,18,Solidity,https://github.com/Keydonix/uniswap-oracle,Keydonix,3,2020-12-11T03:17:22Z,A general purpose price feed oracle built on Uniswap v2 that uses merkle proofs under the hood.
75,Solidity,solidity-util,89,24,Solidity,https://github.com/willitscale/solidity-util,willitscale,2,2019-06-13T17:11:31Z,Solidity Standard Utilities
76,Solidity,renex-sol,89,47,Solidity,https://github.com/republicprotocol/renex-sol,republicprotocol,2,2019-08-14T19:39:38Z,"RenEx Ethereum contracts, written in Solidity"
77,Solidity,bridge,88,10,Solidity,https://github.com/cheapETH/bridge,cheapETH,0,2021-04-08T02:24:28Z,Bridge between L1 (Ethereum) and L2 (cheapETH)
78,Solidity,venus-protocol,86,37,Solidity,https://github.com/VenusProtocol/venus-protocol,VenusProtocol,2,2021-04-21T12:28:26Z,Binance Smart Chain Venus Protocol
79,Solidity,RICO,85,17,Solidity,https://github.com/DRI-network/RICO,DRI-network,9,2018-06-13T03:27:14Z,The Responsible Initial Coin Offering Framework
80,Solidity,Smart-Contract-Modular-Template,83,26,Solidity,https://github.com/Turing-Chain/Smart-Contract-Modular-Template,Turing-Chain,6,2020-04-06T11:52:21Z,"Backed by Blockchain Education Network  Hong Kong and Taiwan branch, the open source repository contains educational materials including smart contract templates for developers."
81,Solidity,aave-flashloan-mix,82,29,Solidity,https://github.com/brownie-mix/aave-flashloan-mix,brownie-mix,0,2021-04-27T19:25:43Z,A Brownie mix containing all you need to get started with developing flash loans
82,Solidity,contractsV2,82,20,Solidity,https://github.com/bZxNetwork/contractsV2,bZxNetwork,5,2021-04-27T18:50:13Z,bZx Protocol Smart Contracts - Version 2
83,Solidity,WETH10,81,35,Solidity,https://github.com/WETH10/WETH10,WETH10,10,2021-04-22T14:16:23Z,revamped contract
84,Solidity,alchemix-protocol,81,21,Solidity,https://github.com/alchemix-finance/alchemix-protocol,alchemix-finance,1,2021-04-05T20:15:33Z,contracts for the Alchemix protocol
85,Solidity,SugarDaddyFlashloan,79,14,Solidity,https://github.com/fifikobayashi/SugarDaddyFlashloan,fifikobayashi,1,2021-01-23T01:01:15Z,Leverages Aave V2's credit delegation functionalities to execute a V2 flashloan where the repayment of the loan at the end of the Tx is incurred onto a separate entity (the sugardaddy)
86,Solidity,rtoken-monorepo,79,40,Solidity,https://github.com/rtoken-project/rtoken-monorepo,rtoken-project,9,2021-04-19T20:06:26Z,RToken Ethereum monorepo
87,Solidity,autofarmV2,76,50,Solidity,https://github.com/autofarm-network/autofarmV2,autofarm-network,3,2021-01-21T16:38:37Z,
88,Solidity,Bunny,76,56,Solidity,https://github.com/PancakeBunny-finance/Bunny,PancakeBunny-finance,1,2021-05-01T01:09:59Z,PancakeBunny helps $cake lovers get more $cakes
89,Solidity,bsc-genesis-contract,74,85,Solidity,https://github.com/binance-chain/bsc-genesis-contract,binance-chain,4,2021-03-31T12:43:11Z,The genesis contracts of Binance Smart Chain.
90,Solidity,ds-auth,74,23,Solidity,https://github.com/dapphub/ds-auth,dapphub,1,2021-02-15T22:35:51Z,"Updatable, unobtrusive Solidity authorization pattern"
91,Solidity,land,73,28,Solidity,https://github.com/decentraland/land,decentraland,10,2021-03-03T15:41:47Z,⛰ Contract for LAND
92,Solidity,smartbugs,73,23,Solidity,https://github.com/smartbugs/smartbugs,smartbugs,8,2021-04-27T13:23:43Z,SmartBugs: A Framework to Analyze Solidity Smart Contracts
93,Solidity,frax-solidity,73,22,Solidity,https://github.com/FraxFinance/frax-solidity,FraxFinance,0,2021-04-30T07:05:29Z,Solidity implementation of the Frax Protocol
94,Solidity,azimuth,72,21,Solidity,https://github.com/urbit/azimuth,urbit,8,2021-04-15T02:18:35Z,General-purpose PKI on Ethereum
95,Solidity,smart-contracts,72,10,Solidity,https://github.com/DOSNetwork/smart-contracts,DOSNetwork,3,2021-04-22T18:26:22Z,On-chain system contracts and examples
96,Solidity,openzeppelin-test-environment,71,23,Solidity,https://github.com/OpenZeppelin/openzeppelin-test-environment,OpenZeppelin,28,2021-04-09T21:16:40Z,One-line setup for blazing-fast smart contracts tests
97,Solidity,conditional-tokens-contracts,70,22,Solidity,https://github.com/gnosis/conditional-tokens-contracts,gnosis,17,2021-04-01T06:49:27Z,Smart contracts for conditional tokens.
98,Solidity,nft-mix,70,36,Solidity,https://github.com/PatrickAlphaC/nft-mix,PatrickAlphaC,0,2021-05-04T11:25:32Z,
99,Solidity,vaults,69,44,Solidity,https://github.com/yearn/vaults,yearn,6,2020-09-11T13:24:59Z,
100,Solidity,diamond-3,66,23,Solidity,https://github.com/mudgen/diamond-3,mudgen,5,2021-04-14T21:47:35Z,Implementation of a diamond. Implements EIP-2535 Diamond Standard.
1,Solidity,EIPs,6333,2461,Solidity,https://github.com/ethereum/EIPs,ethereum,508,2021-05-04T18:11:26Z,The Ethereum Improvement Proposal repository
2,Solidity,learning-solidity,952,359,Solidity,https://github.com/willitscale/learning-solidity,willitscale,5,2021-03-05T12:02:44Z,The companion to the Youtube tutorials
3,Solidity,sushiswap,816,650,Solidity,https://github.com/sushiswap/sushiswap,sushiswap,16,2021-04-30T00:50:47Z,Sushiswap smart contracts 🍣 📝
4,Solidity,not-so-smart-contracts,762,135,Solidity,https://github.com/crytic/not-so-smart-contracts,crytic,9,2020-04-24T15:54:02Z,Examples of Solidity security issues
5,Solidity,compound-protocol,673,478,Solidity,https://github.com/compound-finance/compound-protocol,compound-finance,27,2021-05-03T03:22:39Z,The Compound On-Chain Protocol
6,Solidity,solidity-stringutils,621,247,Solidity,https://github.com/Arachnid/solidity-stringutils,Arachnid,25,2021-01-15T14:23:26Z,Basic string utilities for Solidity
7,Solidity,yam-protocol,597,262,Solidity,https://github.com/yam-finance/yam-protocol,yam-finance,18,2020-09-29T06:24:11Z,A stablizing reserve currency protocol
8,Solidity,solidity-patterns,574,113,Solidity,https://github.com/fravoll/solidity-patterns,fravoll,0,2019-12-17T08:28:14Z,A compilation of patterns and best practices for the smart contract programming language Solidity
9,Solidity,ethereum-api,568,347,Solidity,https://github.com/provable-things/ethereum-api,provable-things,10,2020-11-15T01:26:36Z,Provable API for Ethereum smart contracts
10,Solidity,aragonOS,491,189,Solidity,https://github.com/aragon/aragonOS,aragon,49,2021-04-05T13:27:45Z,(Aragon 1) Reference implementation for aragonOS: a Solidity framework for building complex dApps and protocols
11,Solidity,defi-sdk,471,131,Solidity,https://github.com/zeriontech/defi-sdk,zeriontech,25,2021-05-04T12:00:37Z,DeFi SDK Makes Money Lego Work
12,Solidity,money-legos,411,111,Solidity,https://github.com/studydefi/money-legos,studydefi,22,2021-05-01T02:03:57Z,"💰One stop shop for Ethereum ABIs, addresses, and Solidity interfaces!"
13,Solidity,ERC223-token-standard,408,211,Solidity,https://github.com/Dexaran/ERC223-token-standard,Dexaran,7,2021-04-14T06:03:11Z,ERC223 token standard reference implementation.
14,Solidity,ethereum-examples,366,126,Solidity,https://github.com/provable-things/ethereum-examples,provable-things,6,2021-03-30T17:21:42Z,Code examples showing how to use the Provable API on Ethereum
15,Solidity,Safemoon.sol,351,320,Solidity,https://github.com/safemoonprotocol/Safemoon.sol,safemoonprotocol,48,2021-04-23T16:48:11Z,safemoon contract
16,Solidity,security-oracle-smart-contracts,332,5,Solidity,https://github.com/certikfoundation/security-oracle-smart-contracts,certikfoundation,0,2021-01-21T19:56:43Z,Smart Contracts for CertiK Security Oracle
17,Solidity,uniswap-v2-periphery,314,512,Solidity,https://github.com/Uniswap/uniswap-v2-periphery,Uniswap,20,2021-04-04T03:24:17Z,🎚 Peripheral smart contracts for interacting with Uniswap V2
18,Solidity,keep3r.network,314,104,Solidity,https://github.com/keep3r-network/keep3r.network,keep3r-network,10,2021-04-19T09:26:21Z,An incentivized keeper network for anonymous keeper and job registration
19,Solidity,yearn-protocol,310,153,Solidity,https://github.com/yearn/yearn-protocol,yearn,18,2021-04-30T06:39:01Z,Yearn smart contracts
20,Solidity,ethereum-erc721,309,131,Solidity,https://github.com/0xcert/ethereum-erc721,0xcert,9,2021-04-03T06:22:59Z,Non-fungible token implementation for Ethereum-based blockchains.
21,Solidity,dss,297,191,Solidity,https://github.com/makerdao/dss,makerdao,19,2021-04-30T16:56:49Z,Dai Stablecoin System
22,Solidity,1inchProtocol,272,128,Solidity,https://github.com/1inch/1inchProtocol,1inch,43,2021-01-15T15:53:41Z,1inch Protocol – fully on-chain DeFi aggregation protocol
23,Solidity,protocols,272,90,Solidity,https://github.com/Loopring/protocols,Loopring,14,2021-04-30T21:32:35Z,A zkRollup DEX & Payment Protocol
24,Solidity,solidity-idiosyncrasies,270,37,Solidity,https://github.com/miguelmota/solidity-idiosyncrasies,miguelmota,0,2020-11-30T02:11:40Z,"Solidity gotchas, pitfalls, limitations, and idiosyncrasies."
25,Solidity,verified-smart-contracts,249,77,Solidity,https://github.com/runtimeverification/verified-smart-contracts,runtimeverification,7,2021-04-27T18:12:17Z,Smart contracts which are formally verified
26,Solidity,MultiSigWallet,233,107,Solidity,https://github.com/ConsenSysMesh/MultiSigWallet,ConsenSysMesh,8,2020-11-10T16:26:09Z,Ethereum MultiSigWallet
27,Solidity,building-secure-contracts,219,34,Solidity,https://github.com/crytic/building-secure-contracts,crytic,23,2021-05-03T20:49:12Z,Guidelines and training material to write secure smart contracts
28,Solidity,argent-contracts,218,67,Solidity,https://github.com/argentlabs/argent-contracts,argentlabs,1,2021-05-03T14:03:52Z,Smart Contracts for Argent Wallet
29,Solidity,SWC-registry,210,66,Solidity,https://github.com/SmartContractSecurity/SWC-registry,SmartContractSecurity,15,2021-04-02T00:25:49Z,Smart Contract Weakness Classification and Test Cases
30,Solidity,erc-1155,204,116,Solidity,https://github.com/enjin/erc-1155,enjin,10,2021-03-30T12:43:25Z,ERC-1155: Smart Contract Sample Implementation
31,Solidity,flashloan-box,200,90,Solidity,https://github.com/aave/flashloan-box,aave,8,2021-05-04T06:38:00Z,A box containing all you need to get started with developing  Aave v1 flash loans
32,Solidity,basiscash-protocol,196,207,Solidity,https://github.com/Basis-Cash/basiscash-protocol,Basis-Cash,3,2021-04-07T15:50:43Z,Solidity implementation of the Basis Cash Protocol 
33,Solidity,congress,195,21,Solidity,https://github.com/cybercongress/congress,cybercongress,64,2021-04-29T06:50:59Z,Helping humanity evolve
34,Solidity,defi-bot,195,80,Solidity,https://github.com/ExtropyIO/defi-bot,ExtropyIO,3,2021-04-14T10:27:30Z,Tutorial for building DeFi arbitrage bots
35,Solidity,payment-channel,193,56,Solidity,https://github.com/mattdf/payment-channel,mattdf,2,2018-05-18T19:01:06Z,Ethereum Payment Channel in 50 lines of code
36,Solidity,anonymous-zether,192,42,Solidity,https://github.com/ConsenSys/anonymous-zether,ConsenSys,7,2021-04-29T18:45:07Z,"A private payment system for Ethereum-based blockchains, with no trusted setup."
37,Solidity,smart-contracts,192,71,Solidity,https://github.com/trusttoken/smart-contracts,trusttoken,2,2021-05-04T16:49:15Z,TrustToken smart contracts
38,Solidity,Flash-Arb-Trader,188,57,Solidity,https://github.com/fifikobayashi/Flash-Arb-Trader,fifikobayashi,5,2020-11-10T17:01:00Z,Smart contract that flash borrows from Aave and uses the flash liquidity for arbitrage between Sushiswap and UniswapV2 within the same transaction
39,Solidity,semaphore,180,33,Solidity,https://github.com/appliedzkp/semaphore,appliedzkp,11,2021-04-30T16:35:05Z,A privacy gadget for Ethereum
40,Solidity,balancer-core,177,87,Solidity,https://github.com/balancer-labs/balancer-core,balancer-labs,1,2021-04-26T13:49:52Z,Balancer on the EVM
41,Solidity,solidity-bytes-utils,173,45,Solidity,https://github.com/GNSPS/solidity-bytes-utils,GNSPS,2,2021-04-13T00:02:32Z,Utility Solidity library composed of basic operations for tightly packed bytes arrays
42,Solidity,flash-lending,170,39,Solidity,https://github.com/marbleprotocol/flash-lending,marbleprotocol,11,2018-11-18T04:38:53Z,Flash lending smart contracts
43,Solidity,dharma-smart-wallet,168,32,Solidity,https://github.com/dharma-eng/dharma-smart-wallet,dharma-eng,0,2021-05-04T20:26:41Z,"An upgradeable, meta-transaction-enabled smart wallet for earning interest on stablecoins while retaining custody of funds, with an added security backstop provided by Dharma Labs."
44,Solidity,moac-core,162,40,Solidity,https://github.com/MOACChain/moac-core,MOACChain,5,2021-04-28T07:26:31Z,MOAC core 
45,Solidity,multicall,155,76,Solidity,https://github.com/makerdao/multicall,makerdao,10,2021-04-14T17:41:20Z,Multicall: Aggregate multiple constant function call results into one
46,Solidity,contracts,151,51,Solidity,https://github.com/ethereum-optimism/contracts,ethereum-optimism,21,2021-04-12T00:07:24Z,[Optimism] Smart Contracts
47,Solidity,pm-contracts,148,51,Solidity,https://github.com/gnosis/pm-contracts,gnosis,8,2020-12-10T16:40:26Z,Collection of smart contracts for the Gnosis prediction market platform.
48,Solidity,damn-vulnerable-defi,145,56,Solidity,https://github.com/OpenZeppelin/damn-vulnerable-defi,OpenZeppelin,0,2021-02-26T19:19:43Z,
49,Solidity,erc721x,142,41,Solidity,https://github.com/loomnetwork/erc721x,loomnetwork,4,2019-11-01T13:53:12Z,"ERC721x is an extension of ERC721 that adds support for multi-fungible tokens and batch transfers, while being fully backward-compatible."
50,Solidity,smartcheck,141,38,Solidity,https://github.com/smartdec/smartcheck,smartdec,2,2020-11-11T09:41:03Z, SmartCheck – a static analysis tool that detects vulnerabilities and bugs in Solidity programs (Ethereum-based smart contracts).
51,Solidity,harvest,137,85,Solidity,https://github.com/harvest-finance/harvest,harvest-finance,0,2021-02-18T18:05:27Z,Bread for the people!
52,Solidity,kleros,131,47,Solidity,https://github.com/kleros/kleros,kleros,12,2021-04-08T18:34:41Z,Kleros smart contracts
53,Solidity,pancake-farm,128,246,Solidity,https://github.com/pancakeswap/pancake-farm,pancakeswap,9,2021-04-30T18:50:08Z,
54,Solidity,ds-proxy,127,33,Solidity,https://github.com/dapphub/ds-proxy,dapphub,7,2021-02-16T16:32:04Z,a proxy object that can compose transactions on owner's behalf
55,Solidity,clone-factory,125,32,Solidity,https://github.com/optionality/clone-factory,optionality,7,2019-11-17T06:29:29Z,Simple clone contract factory
56,Solidity,alchemist,124,26,Solidity,https://github.com/alchemistcoin/alchemist,alchemistcoin,5,2021-04-15T13:06:08Z,Can a meme coin help us achieve immortality?
57,Solidity,sai,122,54,Solidity,https://github.com/makerdao/sai,makerdao,5,2020-04-16T15:11:50Z,Single Collateral Dai
58,Solidity,ds-math,120,22,Solidity,https://github.com/dapphub/ds-math,dapphub,6,2020-12-10T15:11:23Z,Safe arithmetic
59,Solidity,smart-contract,119,85,Solidity,https://github.com/Fankouzu/smart-contract,Fankouzu,2,2021-01-02T06:53:31Z,学习智能合约
60,Solidity,chai,119,19,Solidity,https://github.com/dapphub/chai,dapphub,4,2020-04-01T20:41:51Z,ERC20 wrapper over the Dai Savings Rate
61,Solidity,BokkyPooBahsDateTimeLibrary,119,30,Solidity,https://github.com/bokkypoobah/BokkyPooBahsDateTimeLibrary,bokkypoobah,1,2020-01-18T13:48:39Z,Gas-Efficient Solidity DateTime Library
62,Solidity,oneswap_contract_ethereum,114,15,Solidity,https://github.com/oneswap/oneswap_contract_ethereum,oneswap,3,2020-11-11T09:55:43Z,OneSwap's smartcontract source code for ethereum
63,Solidity,UNIB,109,7,Solidity,https://github.com/uniswapbet/UNIB,uniswapbet,1,2020-11-10T16:59:40Z,
64,Solidity,aragon-network-token,107,40,Solidity,https://github.com/aragon/aragon-network-token,aragon,7,2021-04-01T06:36:02Z,Smart contracts for the Aragon Network Token
65,Solidity,ds-token,104,48,Solidity,https://github.com/dapphub/ds-token,dapphub,4,2021-02-15T22:57:24Z,A simple and sufficient ERC20 implementation
66,Solidity,uniswap-flash-swapper,102,47,Solidity,https://github.com/Austin-Williams/uniswap-flash-swapper,Austin-Williams,6,2021-02-12T23:04:10Z,Boiler plate for Uniswap v2 flash loans (and flash swaps)
67,Solidity,Tokens,100,99,Solidity,https://github.com/bokkypoobah/Tokens,bokkypoobah,2,2019-06-21T17:06:58Z,"Tokens, Tokens, Tokens"
68,Solidity,abyss-daico,98,48,Solidity,https://github.com/abyssfinance/abyss-daico,abyssfinance,0,2018-12-31T00:47:26Z,"DAICO is an innovative fundraising model that merges some of the benefits of Decentralized Autonomous Organizations (DAOs), aimed at upgrading and making the initial ICO concept more transparent."
69,Solidity,flash-mintable-tokens,94,31,Solidity,https://github.com/Austin-Williams/flash-mintable-tokens,Austin-Williams,1,2020-06-23T00:27:24Z,Anyone can be rich... for an instant.
70,Solidity,defisaver-contracts,93,25,Solidity,https://github.com/DecenterApps/defisaver-contracts,DecenterApps,1,2021-04-29T12:42:55Z,Defi Saver solidity smart contracts
71,Solidity,mana,93,32,Solidity,https://github.com/decentraland/mana,decentraland,5,2020-10-13T12:21:34Z,⏣ Solidity Contracts for the Decentraland MANA Token
72,Solidity,abdk-libraries-solidity,92,27,Solidity,https://github.com/abdk-consulting/abdk-libraries-solidity,abdk-consulting,1,2021-03-24T11:35:19Z,Open-Source Libraries for Solidity by ABDK Consulting
73,Solidity,flashloaner-contract,91,62,Solidity,https://github.com/pedrobergamini/flashloaner-contract,pedrobergamini,1,2020-11-12T01:18:25Z,Solidity smart contracts that operate arbitrages between Sushiswap and Uniswap
74,Solidity,uniswap-oracle,91,18,Solidity,https://github.com/Keydonix/uniswap-oracle,Keydonix,3,2020-12-11T03:17:22Z,A general purpose price feed oracle built on Uniswap v2 that uses merkle proofs under the hood.
75,Solidity,solidity-util,89,24,Solidity,https://github.com/willitscale/solidity-util,willitscale,2,2019-06-13T17:11:31Z,Solidity Standard Utilities
76,Solidity,renex-sol,89,47,Solidity,https://github.com/republicprotocol/renex-sol,republicprotocol,2,2019-08-14T19:39:38Z,"RenEx Ethereum contracts, written in Solidity"
77,Solidity,bridge,88,10,Solidity,https://github.com/cheapETH/bridge,cheapETH,0,2021-04-08T02:24:28Z,Bridge between L1 (Ethereum) and L2 (cheapETH)
78,Solidity,venus-protocol,86,37,Solidity,https://github.com/VenusProtocol/venus-protocol,VenusProtocol,2,2021-04-21T12:28:26Z,Binance Smart Chain Venus Protocol
79,Solidity,RICO,85,17,Solidity,https://github.com/DRI-network/RICO,DRI-network,9,2018-06-13T03:27:14Z,The Responsible Initial Coin Offering Framework
80,Solidity,Smart-Contract-Modular-Template,83,26,Solidity,https://github.com/Turing-Chain/Smart-Contract-Modular-Template,Turing-Chain,6,2020-04-06T11:52:21Z,"Backed by Blockchain Education Network  Hong Kong and Taiwan branch, the open source repository contains educational materials including smart contract templates for developers."
81,Solidity,aave-flashloan-mix,82,29,Solidity,https://github.com/brownie-mix/aave-flashloan-mix,brownie-mix,0,2021-04-27T19:25:43Z,A Brownie mix containing all you need to get started with developing flash loans
82,Solidity,contractsV2,82,20,Solidity,https://github.com/bZxNetwork/contractsV2,bZxNetwork,5,2021-04-27T18:50:13Z,bZx Protocol Smart Contracts - Version 2
83,Solidity,WETH10,81,35,Solidity,https://github.com/WETH10/WETH10,WETH10,10,2021-04-22T14:16:23Z,revamped contract
84,Solidity,alchemix-protocol,81,21,Solidity,https://github.com/alchemix-finance/alchemix-protocol,alchemix-finance,1,2021-04-05T20:15:33Z,contracts for the Alchemix protocol
85,Solidity,SugarDaddyFlashloan,79,14,Solidity,https://github.com/fifikobayashi/SugarDaddyFlashloan,fifikobayashi,1,2021-01-23T01:01:15Z,Leverages Aave V2's credit delegation functionalities to execute a V2 flashloan where the repayment of the loan at the end of the Tx is incurred onto a separate entity (the sugardaddy)
86,Solidity,rtoken-monorepo,79,40,Solidity,https://github.com/rtoken-project/rtoken-monorepo,rtoken-project,9,2021-04-19T20:06:26Z,RToken Ethereum monorepo
87,Solidity,autofarmV2,76,50,Solidity,https://github.com/autofarm-network/autofarmV2,autofarm-network,3,2021-01-21T16:38:37Z,
88,Solidity,Bunny,76,56,Solidity,https://github.com/PancakeBunny-finance/Bunny,PancakeBunny-finance,1,2021-05-01T01:09:59Z,PancakeBunny helps $cake lovers get more $cakes
89,Solidity,bsc-genesis-contract,74,85,Solidity,https://github.com/binance-chain/bsc-genesis-contract,binance-chain,4,2021-03-31T12:43:11Z,The genesis contracts of Binance Smart Chain.
90,Solidity,ds-auth,74,23,Solidity,https://github.com/dapphub/ds-auth,dapphub,1,2021-02-15T22:35:51Z,"Updatable, unobtrusive Solidity authorization pattern"
91,Solidity,land,73,28,Solidity,https://github.com/decentraland/land,decentraland,10,2021-03-03T15:41:47Z,⛰ Contract for LAND
